spatial_id,Mental Health Score,Mental Health Binary,Unemployment Rate,High Education Rate,Average Income,Median Age,Recent Immigrant Rate,Rented Rate,Visible Minority Rate,Visible Minority Binary,Work Stress Score,Work Stress binary,Rate of Regular alcohol,Active transportation,Rate of Active population,Rate of Daily Smokers,Total Population,Food Insecurity score,Food Insecurity binary,Diabetes Type 2 rate,Diabetes,Overweight,Obese,Residential Instability,Material Deprivation,Ethnic Concentration,Residential Instability quintiles,Material Deprivation quintiles,Ethnic Concentration quintiles
5350072.01,3.501235025,1,11,47.7188,106559.3143,38.4,3.0226,55.9643,48.9873,1,2.939700882,1,54.076,58.8526,53.2618,15.3665,4740,1.224223488,1,10.0367,0,29.5635,21.9779,0.661439946,0.885620261,0.401795503,4,5,3
5350072.02,3.764742434,0,6.7,56,137036.3101,40.4,4.5917,30.8749,32.2078,1,2.963615749,1,65.0009,58.4057,56.5782,10.4911,3465,1.087109185,0,10.7949,1,32.3324,22.8072,0.249150736,-0.213790448,-0.089561719,4,3,2
5350073,3.735766966,0,7.9,40.8627,113036.5473,39.4,2.316,34.1748,52.5593,1,2.878730513,1,64.2707,61.1771,56.0903,13.3521,2696,1.129588624,1,7.9414,0,30.1918,24.8688,0.478452318,0.441639857,0.187175248,4,4,3
5350074,3.625068528,1,7.5,43.4715,105510.6957,37.9,2.83,45.4103,47.6535,1,2.910517515,1,59.5408,60.3339,54.1276,12.1884,4006,1.169029782,1,8.817,0,27.5892,24.6684,0.615760058,0.279439483,0.359323986,4,4,3
5350075,3.658490356,1,9.1,54.6602,117540.037,41.2,2.4019,36.6408,41.7434,1,3.01881924,1,62.6727,56.8685,55.5253,10.8386,4233,1.107606084,0,9.8637,0,29.9691,21.071,0.458350334,-0.063568004,-0.077665472,4,3,2
5350076,3.664130962,1,6.3,52.4928,114454.2903,41,2.8467,38.0059,37.0561,1,3.007107438,1,59.721,57.3516,52.6228,11.0468,4674,1.13483317,1,9.5682,0,31.6253,20.1194,0.453612628,-0.119680375,-0.087152856,4,3,2
5350077,3.755572723,0,10.6,53.8302,136020.0314,38.9,2.821,41.7307,28.4002,1,3.024366365,1,62.798,61.148,57.721,10.1459,4838,1.116137775,0,8.9469,0,28.2704,21.3519,0.07823123,-0.233496815,-0.150022625,3,3,2
5350078,3.650479623,1,11,50.5735,127243.5975,43.9,2.3894,47.8216,24.6363,0,3.01562009,1,58.8419,57.1524,54.4654,12.2747,6255,1.115929265,0,12.3241,1,31.243,22.4273,0.854595449,-0.156222706,-0.349100262,4,3,2
5350079,3.880322213,0,6.2,57.0761,167240.351,41,2.7482,23.7653,22.9895,0,3.01418465,1,58.8885,60.1039,56.7415,7.0328,7747,1.067032012,0,8.518,0,28.3913,18.8149,-0.132304652,-0.615251962,-0.134762761,3,2,2
5350080.01,3.766255054,0,5.7,49.4061,121413.4969,39.9,4.1678,38.1226,26.69,1,3.06074692,1,62.8302,58.6233,56.017,10.6597,3713,1.099313692,0,9.4556,0,31.7626,21.8006,0.59539965,-0.345447861,0.069003554,4,3,3
