Spatial ID,Diabetes Type 2 rate,Diabetes,Mental Health Score,Mental Health Binary,High Education Rate,Rate of Regular alcohol,Rate of Daily Smokers,Food Insecurity score,Food Insecurity binary,Unemployment Rate,Median Age,Recent Immigrant Rate,Work Stress Score,Work Stress binary,Rate of Active population,Visible Minority Rate,Visible Minority Binary,Low-income Rate,Low-income Binary,Ethnic Concentration,Ethnic Concentration quintiles,Residential Instability,Residential Instability quintiles,Average Income,Rented Rate,Active transportation,Total Population,Overweight,Obese,Material Deprivation,Material Deprivation quintiles
5350092,6.7383,0,4.02308941,0,76.0692,69.9693,9.4272,1.072590141,0,9.9,34.4,5.623,3.137099532,1,59.6756,28.146,1,12.1,0,0.252584472,3,2.027645928,5,151045.9165,73.4589,56.3402,8193,38.0004,20.1195,-0.867379131,1
5350186,10.0207,0,4.062956409,0,69.8546,55.2526,5.7053,1.031663392,0,7.3,43.7,3.9786,3.037756065,1,58.2154,22.3412,0,23.5,0,-0.10804999,2,-0.041180324,3,385535.0188,37.3727,56.8838,2614,27.2409,19.6424,-0.862261446,1
5350022,9.0052,0,4.091718545,0,65.6472,64.4703,8.7647,1.026925898,0,4.5,41,1.1991,3.163813481,1,60.6572,11.8745,0,5.2,0,-0.434249186,2,-0.091895318,3,239233.4938,24.6914,61.0675,4017,27.1905,20.1354,-0.858111621,1
5350129,7.8463,0,4.029358869,0,74.7588,63.4881,7.6108,1.052160624,0,6.9,37.7,4.8669,3.133724051,1,59.4029,26.0692,1,19.4,0,0.049322468,3,1.043426673,5,223546.5256,54.4789,57.3445,6383,34.5989,19.1767,-0.854339866,1
5350139.02,9.5177,0,4.083523149,0,77.9499,54.1353,5.4819,1.051588046,0,5.1,41.4,0.9234,3.193218506,1,59.4177,13.1974,0,12.2,0,-0.167592902,2,-0.318706083,3,503292.9603,21.7204,58.0522,2599,30.6498,19.3093,-0.842392694,1
5350299.02,2.6884,0,3.994549283,0,71.8907,74.8316,9.1882,1.079672438,0,9.2,37,13.5271,3.107304663,1,54.7808,69.4426,1,14.4,0,1.713602826,5,2.274006195,3,90978.8777,44.3218,52.5251,5992,39.1905,14.3898,-0.841235118,1
5350802.02,9.3427,0,4.000941297,0,48.2079,51.8258,4.7788,1.047569127,0,5.6,44.1,6.4925,2.962552697,1,54.9891,44.2207,1,23.3,0,0.44520263,3,-0.836967855,1,180484.2067,7.6044,47.2171,6307,35.9063,18.1403,-0.834547544,1
5350307.05,2.7638,0,3.969738665,0,68.1241,76.8498,9.2962,1.110959505,0,11.4,35.1,10.9441,3.209703356,1,57.9193,83.7816,1,20.1,0,2.408629794,5,2.425439815,5,84198.3119,45.0124,54.8475,3792,36.351,17.0229,-0.829570159,1
5350240.01,13.4953,1,4.04249194,0,48.8399,50.8026,6.8046,1.019115552,0,6.3,47.7,2.3458,2.872796447,0,43.0107,15.0807,0,3.7,0,-0.25426486,2,-0.612905449,4,168554.8104,5.0544,37.8625,3468,39.7037,14.0909,-0.81475391,1
5350024,9.2559,0,4.07015878,0,60.5473,68.9682,9.5314,1.053269997,0,5.9,40.5,3.0093,3.15448193,1,58.9439,17.1621,0,26,0,-0.3933532,2,0.587315429,4,179861.7628,41.3934,60.4093,7435,30.0205,22.5679,-0.813373077,1
5350267,11.7609,1,4.075241829,0,75.8078,46.6727,3.655,1.03765884,0,5.4,45.6,9.7885,2.919983403,1,47.5714,60.5097,1,20.9,0,0.836527586,4,-0.562687979,2,317894.9993,15.6236,46.8972,7141,30.8774,17.0612,-0.811996982,1
5350167.01,8.0641,0,4.060206964,0,65.0134,62.1257,8.1174,1.062477468,0,7.5,47,14.4091,2.945851963,1,50.9843,19.9765,0,5.2,0,-0.047567945,2,2.683836784,5,120221.2951,75.5932,51.7466,2553,42.1858,16.569,-0.808146777,1
5350231,13.6608,1,4.033367603,0,57.6015,50.1452,5.9689,1.054942667,0,6.5,45.3,4.3639,3.115139544,1,54.1579,18.5539,0,6.3,0,-0.151190439,2,-0.010925183,4,316441.9431,37.833,52.2434,7012,35.0122,19.0942,-0.806405124,1
5350049,9.4693,0,4.06044561,0,65.1578,66.0021,8.0845,1.043511967,0,7.8,41.1,2.5044,3.078420884,1,56.6901,12.2572,0,8.6,0,-0.442466754,2,0.931678073,5,138765.9662,57.5902,59.3746,3810,31.1866,22.0237,-0.799914626,1
5350052,9.3435,0,4.087210297,0,61.2409,68.3823,8.8347,1.053217713,0,8.8,38.4,3.1135,3.162331154,1,58.3493,19.2131,0,9.7,0,-0.411019198,2,1.004284587,5,130590.366,42.1351,61.2684,4346,33.9612,20.8335,-0.785309957,1
5350070,11.3766,1,4.070958118,0,66.9622,63.7486,9.1826,1.055776245,0,7.4,42.6,2.3377,3.028984856,1,57.4331,18.8138,0,15.5,0,-0.354890589,2,1.196273922,5,146272.4695,65.2596,57.0961,3625,33.9634,22.8465,-0.777555173,1
5350088,6.1876,0,3.997984046,0,68.8653,69.9774,7.5543,1.06804449,0,7.3,44.7,16.1354,3.018355903,1,51.8364,38.1086,1,19.9,0,0.663751677,4,2.160414125,5,145579.0595,53.8396,51.9692,4272,39.4507,16.1492,-0.770598182,1
5350117,7.5423,0,4.140748058,0,75.9811,68.5104,9.8056,1.036612566,0,7.8,39.7,3.4708,3.117023068,1,58.5461,18.3591,0,12.3,0,-0.27756838,2,1.414051817,5,206294.8898,39.3669,58.5088,2462,35.9658,18.7102,-0.76840355,1
5350135,7.9306,0,4.023247557,0,71.2788,66.0417,8.6168,1.06160092,0,8.6,38,7.9751,3.141363721,1,57.4701,31.9915,1,7.3,0,0.515695607,4,1.510103132,5,162687.7444,65.6796,57.7909,7080,35.6197,18.1761,-0.767039945,1
5350308.03,10.2751,0,4.051012712,0,61.6242,46.9941,4.654,1.035450845,0,12.9,43.6,2.9966,2.911903821,1,48.312,48.1164,1,13.5,0,0.886391955,4,-0.436616474,3,196061.9105,21.9072,50.0954,1168,29.1331,15.5952,-0.765700674,1
